Drug Name,Drug ID,Cell Line Name,Cosmic ID,TCGA Classification,Tissue,Tissue Sub-type,IC50,AUC,Max Conc,RMSE,Z score,Dataset Version
"Entinostat","1593","HCC2218","749716","BRCA","breast","breast","1.4293427567465911",".85206215263516016","10",".12475732699818524","-.36775008411169047","GDSC2"
"Entinostat","1593","HCC38","749717","BRCA","breast","breast","3.6344728359596203",".93697717337983399","10",".087393642833127214",".98129544445633099","GDSC2"
"Entinostat","1593","T47D","905945","BRCA","breast","breast","2.3883038743546439",".89540958438684881","10",".089344972004674533",".21891925570404855","GDSC2"
"Entinostat","1593","MCF7","905946","BRCA","breast","breast","3.6259429434768742",".93084986277178283","10",".10941377007461053",".97607706145866158","GDSC2"
"Entinostat","1593","BT-549","905951","BRCA","breast","breast","1.7381019024258717",".82834499247224702","10",".098830892775795112","-.17885866731519567","GDSC2"
"Entinostat","1593","Hs-578-T","905957","BRCA","breast","breast","1.6255534331363741",".83659518767564078","10",".09632328270495627","-.24771311298869464","GDSC2"
"Entinostat","1593","MDA-MB-231","905960","BRCA","breast","breast","1.725671531219694",".85843587880303318","10",".079634845604400095","-.18646326935305793","GDSC2"
"Entinostat","1593","BT-20","906801","BRCA","breast","breast","3.5330455541386683",".9673235058014833","10",".047444135763135969",".91924467370806018","GDSC2"
"Entinostat","1593","COLO-824","906812","BRCA","breast","breast","1.4088787535037213",".82992249299932874","10",".10999651351690494","-.38026946894600705","GDSC2"
"Entinostat","1593","CAL-120","906826","BRCA","breast","breast","4.3263538027063912",".9153873395318558","10",".072376609925131022","1.4045715737376281","GDSC2"
"Entinostat","1593","DU-4475","906844","BRCA","breast","breast","-1.1012511264993547",".60038857657705136","10",".21464736339325266","-1.9159065375545108","GDSC2"
"Entinostat","1593","EFM-19","906851","BRCA","breast","breast","4.4170544973444468",".96119178804421956","10",".056642011193278503","1.4600600765216227","GDSC2"
"Entinostat","1593","EVSA-T","906862","BRCA","breast","breast","-.38071261476725232",".67857930230953523","10",".12212643645578328","-1.4750984117317689","GDSC2"
"Entinostat","1593","HCC1419","907045","BRCA","breast","breast","2.7780224681722028",".93016146277511158","10",".075377976262286359",".45733971504358317","GDSC2"
"Entinostat","1593","HCC1569","907046","BRCA","breast","breast","2.2301126084883314",".88717545266283282","10",".10001304069118937",".12214164521876367","GDSC2"
"Entinostat","1593","HCC70","907048","BRCA","breast","breast",".41034046184033079",".75369714344438077","10",".1500709214433936","-.99115117164954725","GDSC2"
"Entinostat","1593","MDA-MB-175-VII","908120","BRCA","breast","breast","3.8560602719185022",".93474897010677027","2",".049296678434391769","1.1168573065365333","GDSC2"
"Entinostat","1593","MDA-MB-361","908121","BRCA","breast","breast","-.18597459116635245",".69309730711387507","10",".17911048142075733","-1.3559623741540112","GDSC2"
"Entinostat","1593","MDA-MB-453","908122","BRCA","breast","breast",".92083610821513096",".79060281415729627","10",".10893475845243591","-.67884221736729278","GDSC2"
"Entinostat","1593","MDA-MB-468","908123","BRCA","breast","breast","2.1441759641828297",".87962559714198574","10",".094102865985882286",".06956767380849127","GDSC2"
"Entinostat","1593","MRK-nu-1","908151","BRCA","breast","breast","1.3970472582793274",".85966033550800502","10",".13190223641110183","-.38750769306675314","GDSC2"
"Entinostat","1593","OCUB-M","909256","BRCA","breast","breast","1.128923322682214",".82503185492454645","10",".17434084436278707","-.5515394659898426","GDSC2"
"Entinostat","1593","UACC-893","909778","BRCA","breast","breast","1.7086913985951471",".85203754740861248","10",".08471307998392924","-.19685130596258621","GDSC2"
"Entinostat","1593","ZR-75-30","909907","BRCA","breast","breast","4.8193612456185511",".94777643440120518","10",".068410900456025076","1.7061816658954394","GDSC2"
"Entinostat","1593","AU565","910704","BRCA","breast","breast",".40006783268652796",".75174223264261475","10",".11662366155314764","-.99743571901353811","GDSC2"
"Entinostat","1593","CAL-85-1","910852","BRCA","breast","breast","2.0264432915614901",".87222519468643989","10",".073516040655862674","-.0024583427351057255","GDSC2"
"Entinostat","1593","CAL-51","910927","BRCA","breast","breast","1.9018584291162632",".86334387288237058","10",".084581171198303745","-.078676364154040154","GDSC2"
"Entinostat","1593","MFM-223","910948","BRCA","breast","breast","4.9988224443320597",".95452797189781735","10",".083659344183500003","1.8159717095568624","GDSC2"
"Entinostat","1593","CAL-148","924106","BRCA","breast","breast","-.95976597890970394",".72552338655372217","2",".072175978966101048","-1.8293493282933124","GDSC2"
"Entinostat","1593","MDA-MB-415","924240","BRCA","breast","breast","3.0142485562581229",".94504955606253416","10",".073138039395159948",".60185715229932868","GDSC2"
"Entinostat","1593","MDA-MB-157","925338","BRCA","breast","breast","2.8557505639151959",".92282542711259774","10",".062295316268979238",".50489189393527656","GDSC2"
"Entinostat","1593","BT-474","946359","BRCA","breast","breast","1.0233313805760464",".77321042078795665","10",".11419654534505352","-.61613807570178125","GDSC2"
"Entinostat","1593","CAMA-1","946382","BRCA","breast","breast","1.978989168146579",".88179808685936512","10",".090315830352398804","-.031489633727176176","GDSC2"
"Entinostat","1593","BT-483","949093","BRCA","breast","breast","6.2325014013608326",".96695521422052688","2",".040415986482789795","2.5707068140102383","GDSC2"
"Entinostat","1593","MDA-MB-436","1240172","BRCA","breast","breast","4.1701169223963399",".95234620330690023","10",".069158538786687679","1.3089896093145079","GDSC2"
"Entinostat","1593","EFM-192A","1290798","BRCA","breast","breast","1.0509699035033857",".7973292645076987","10",".088565555840486726","-.59922949233845491","GDSC2"
"Entinostat","1593","HCC1428","1290905","BRCA","breast","breast",".95752986448194577",".7596021497895904","10",".11804079044407761","-.65639386010948542","GDSC2"
"Entinostat","1593","HDQ-P1","1290922","BRCA","breast","breast","2.6119283116909404",".89966332397263848","10",".074688016186343006",".35572730621811821","GDSC2"
"Entinostat","1593","JIMT-1","1298157","BRCA","breast","breast","3.0133059663808641",".93638355494494852","10",".077882795961259715",".60128049849047793","GDSC2"
"Entinostat","1593","HCC1500","1303900","BRCA","breast","breast",".52028336483231252",".76494811990451006","10",".11981367856479201","-.92389074874875743","GDSC2"
"Entinostat","1593","YMB-1-E","1303911","BRCA","breast","breast","2.4257023272963898",".86615865958809524","10",".11567433561810106",".24179872943306746","GDSC2"
"Entinostat","1593","MDA-MB-330","1330941","BRCA","breast","breast",".064024001264012406",".63584168044635225","10",".18087466137949038","-1.2030192500972006","GDSC2"
"OSI-027","1594","HCC1954","749709","BRCA","breast","breast","2.1313260764729076",".92916819322618704","4",".10091697432983075","-.29290244741525456","GDSC2"
"OSI-027","1594","HCC1143","749710","BRCA","breast","breast","2.7136522261847094",".92185700636861445","4",".055448778380779939",".10083844229264824","GDSC2"
"OSI-027","1594","HCC1187","749711","BRCA","breast","breast","3.0939960694248869",".96565700424487111","4",".10489467535028638",".35800862657241422","GDSC2"
"OSI-027","1594","HCC1395","749712","BRCA","breast","breast","1.8251302448562206",".88673302418326083","4",".094607650437027027","-.49993731820934939","GDSC2"
"OSI-027","1594","HCC1599","749713","BRCA","breast","breast","2.1967449915623356",".85452248011562393","10",".13140003603519179","-.24866932849420831","GDSC2"
"OSI-027","1594","HCC1937","749714","BRCA","breast","breast","2.0224325004315182",".8836790147263478","4",".087388055823933747","-.36653103774256768","GDSC2"
"OSI-027","1594","HCC2157","749715","BRCA","breast","breast",".65399641897191596",".83854400894605186","4",".12412928840968676","-1.2918015935796383","GDSC2"
"OSI-027","1594","HCC2218","749716","BRCA","breast","breast","1.8747776289305274",".87575366778493413","10",".10440791285933822","-.46636814878983746","GDSC2"
"OSI-027","1594","HCC38","749717","BRCA","breast","breast","3.3715232371326684",".94666201638938907","4",".06527953980756962",".54565912790308058","GDSC2"
"OSI-027","1594","T47D","905945","BRCA","breast","breast",".96020586840535094",".83314789408586809","4",".13190172051251189","-1.0847575150738773","GDSC2"
"OSI-027","1594","MCF7","905946","BRCA","breast","breast","1.7252317190509687",".8635565319247922","4",".14589436716368473","-.56748388889063262","GDSC2"
"OSI-027","1594","BT-549","905951","BRCA","breast","breast","2.7526584923911961",".87856952575347369","10",".14917975591735311",".12721260043053434","GDSC2"
"OSI-027","1594","Hs-578-T","905957","BRCA","breast","breast",".23507386511800946",".75743798695673925","4",".0956052628103954","-1.5750568435023451","GDSC2"
"OSI-027","1594","MDA-MB-231","905960","BRCA","breast","breast","1.5532519603707895",".88382630334657275","4",".13292411141054306","-.68376831683191119","GDSC2"
"OSI-027","1594","BT-20","906801","BRCA","breast","breast","1.9699352461420265",".9321598949968839","4",".072564594914600933","-.40202715211317663","GDSC2"
"OSI-027","1594","COLO-824","906812","BRCA","breast","breast","2.1722288410260777",".9138949786706192","4",".078682695609275391","-.2652459684564295","GDSC2"
"OSI-027","1594","CAL-120","906826","BRCA","breast","breast","2.3964321181819788",".8187314039022191","10",".17331944256981519","-.11365051311498288","GDSC2"
"OSI-027","1594","DU-4475","906844","BRCA","breast","breast","1.9258827516125532",".95366545662110835","4",".094080803671615018","-.43181332674825301","GDSC2"
"OSI-027","1594","EFM-19","906851","BRCA","breast","breast","1.6375183702449487",".86822926216291996","4",".091570667316331247","-.62679142988846392","GDSC2"
"OSI-027","1594","EVSA-T","906862","BRCA","breast","breast","1.3919012381469087",".841459126269269","10",".22801746182696811","-.79286590236003018","GDSC2"
"OSI-027","1594","HCC1419","907045","BRCA","breast","breast","2.2613209903643403",".93482861071813783","4",".10569293770418933","-.20500614896043423","GDSC2"
"OSI-027","1594","HCC1569","907046","BRCA","breast","breast","2.4095590668243059",".88871354558223514","10",".081081484480151719","-.10477470281496834","GDSC2"
"OSI-027","1594","HCC70","907048","BRCA","breast","breast","1.3842906822509951",".88248786872028295","4",".075124980586437587","-.79801179362923003","GDSC2"
"OSI-027","1594","MDA-MB-175-VII","908120","BRCA","breast","breast","1.6295705713118389",".80797938275919567","4",".10702848859991265","-.63216534865321616","GDSC2"
"OSI-027","1594","MDA-MB-361","908121","BRCA","breast","breast",".64639274927222767",".82000540996926019","4",".10485558073522037","-1.2969428287346831","GDSC2"
"OSI-027","1594","MDA-MB-453","908122","BRCA","breast","breast",".36476852558062278",".78027728166209509","4",".12013644248920984","-1.487363561951814","GDSC2"
"OSI-027","1594","MDA-MB-468","908123","BRCA","breast","breast","1.16653099992888",".84797801438086307","4",".071075120549163859","-.94525040055501175","GDSC2"
"OSI-027","1594","MRK-nu-1","908151","BRCA","breast","breast","-.63324973699042308",".62170244765055038","10",".24322230473895268","-2.1621754330036955","GDSC2"
"OSI-027","1594","OCUB-M","909256","BRCA","breast","breast","-.50139598139830455",".70334221712577938","4",".10125558756654018","-2.0730222753379048","GDSC2"
"OSI-027","1594","UACC-893","909778","BRCA","breast","breast",".64105632359669618",".74572747512802429","10",".087939323523702859","-1.3005510627018231","GDSC2"
"OSI-027","1594","ZR-75-30","909907","BRCA","breast","breast","3.1439066992097997",".88180813611789344","10",".099970093300205592",".39175579005995326","GDSC2"
"OSI-027","1594","AU565","910704","BRCA","breast","breast","1.0570000122593599",".79571691453830373","10",".12006996693941004","-1.0193099779188757","GDSC2"
"OSI-027","1594","CAL-85-1","910852","BRCA","breast","breast",".96634342741154999",".83209660310010525","4",".091294199607486234","-1.0806075933419896","GDSC2"
"OSI-027","1594","UACC-812","910910","BRCA","breast","breast","2.2957789428316442",".90056796149257445","4",".086853473683940821","-.18170734146449141","GDSC2"
"OSI-027","1594","CAL-51","910927","BRCA","breast","breast","2.5663901581057882",".8946682698018229","10",".13256497950537913",".0012669259966403854","GDSC2"
"OSI-027","1594","MFM-223","910948","BRCA","breast","breast","2.2144836097721661",".83354829467965863","10",".12187535668902344","-.23667532939321637","GDSC2"
"OSI-027","1594","CAL-148","924106","BRCA","breast","breast",".39794430903381017",".79670959142155051","4",".15078470410891862","-1.4649316953765632","GDSC2"
"OSI-027","1594","MDA-MB-415","924240","BRCA","breast","breast","1.3962761875620171",".89003412191152953","4",".15502727438346753","-.78990777232244835","GDSC2"
"OSI-027","1594","MDA-MB-157","925338","BRCA","breast","breast","1.9316831057807196",".90490498299329603","4",".10715921315834807","-.42789140668348336","GDSC2"
"OSI-027","1594","BT-474","946359","BRCA","breast","breast","2.6062919049220654",".86643787981337117","10",".077482380298979525",".028246564984372537","GDSC2"
"OSI-027","1594","CAMA-1","946382","BRCA","breast","breast",".6002293867592523",".81437875069121379","4",".1026094791601916","-1.3281562706121655","GDSC2"
"OSI-027","1594","BT-483","949093","BRCA","breast","breast","2.9474313052079504",".86053741867555689","4",".082478746641317227",".25890859355626672","GDSC2"
"OSI-027","1594","MDA-MB-436","1240172","BRCA","breast","breast","2.3508108635782476",".90486856888581091","4",".097086514929090872","-.14449740773950537","GDSC2"
"OSI-027","1594","EFM-192A","1290798","BRCA","breast","breast","1.5012368011070896",".8682772473355268","4",".073353106292266046","-.71893846177031628","GDSC2"
"OSI-027","1594","HCC1428","1290905","BRCA","breast","breast","2.6500750275814307",".89153202925383768","4",".0629765424978041",".057850603337485373","GDSC2"
"OSI-027","1594","HDQ-P1","1290922","BRCA","breast","breast","1.0943813385519685",".83480740871171177","4",".090345348560309749","-.99403452587160368","GDSC2"
"OSI-027","1594","JIMT-1","1298157","BRCA","breast","breast","1.8605625009672424",".86156036802517","10",".16392716586186742","-.47597973352520534","GDSC2"
"OSI-027","1594","HCC1500","1303900","BRCA","breast","breast","2.4492444830233229",".94336107103836842","4",".080343826159779447","-.077941336169210285","GDSC2"
"OSI-027","1594","YMB-1-E","1303911","BRCA","breast","breast",".66516104101675222",".71048964221410071","10",".10190938325470986","-1.2842526139925772","GDSC2"
"OSI-027","1594","MDA-MB-330","1330941","BRCA","breast","breast",".2789275528701266",".69530656195064822","10",".087183599864121733","-1.5454050924328857","GDSC2"
"LGK974","1598","HCC1954","749709","BRCA","breast","breast","2.6565432176708952",".91558241010150532","10",".08289692284164317","-1.4291337308661352","GDSC2"
"LGK974","1598","HCC1143","749710","BRCA","breast","breast","4.3882647017317176",".95314261180154314","10",".083181245653567021",".13836705736807628","GDSC2"
"LGK974","1598","HCC1187","749711","BRCA","breast","breast","3.5036883340282592",".9538398391349695","10",".098971523332228112","-.6623241429149288","GDSC2"
"LGK974","1598","HCC1395","749712","BRCA","breast","breast","4.0801019943513026",".95206406362072915","10",".052326246296818299","-.14057230509248861","GDSC2"
"LGK974","1598","HCC1599","749713","BRCA","breast","breast","6.0125109196841322",".97911678252130996","10",".049308061725583635","1.6085845550205016","GDSC2"
"LGK974","1598","HCC1937","749714","BRCA","breast","breast","3.9016649175245921",".93493088516531042","10",".094876908711204119","-.30208803446958832","GDSC2"
"LGK974","1598","HCC2157","749715","BRCA","breast","breast","3.157191486762648",".95387056967889194","10",".048911550844717273","-.97596238451939588","GDSC2"
"LGK974","1598","HCC2218","749716","BRCA","breast","breast","2.7754566287186195",".92336228256112385","10",".049296406744420727","-1.3214969848509313","GDSC2"
"LGK974","1598","HCC38","749717","BRCA","breast","breast","6.1673679638826036",".9843044153311038","10",".070156356526644384","1.7487563673349802","GDSC2"
"LGK974","1598","T47D","905945","BRCA","breast","breast","3.5893209448544892",".94210215963151933","10",".077040720047012193","-.58481214909597667","GDSC2"
"LGK974","1598","MCF7","905946","BRCA","breast","breast","4.4655828372295048",".95056218224437516","10",".077735381450175764",".20835304498392568","GDSC2"
"LGK974","1598","BT-549","905951","BRCA","breast","breast","5.8803225874961136",".9747448914835215","10",".095102136478189936","1.4889317604994126","GDSC2"
"LGK974","1598","Hs-578-T","905957","BRCA","breast","breast","5.9884536464492495",".98458347389970413","10",".14994054896343414","1.5868086545044346","GDSC2"
"LGK974","1598","MDA-MB-231","905960","BRCA","breast","breast","4.8065783306111909",".97751334246217558","10",".081712422797325823",".51701163100937542","GDSC2"
"LGK974","1598","BT-20","906801","BRCA","breast","breast","2.7603596390815293",".9318347277187764","10",".11816003965871245","-1.3351623134698327","GDSC2"
"LGK974","1598","COLO-824","906812","BRCA","breast","breast","3.6301022908496305",".94354512136286794","10",".095519974720853162","-.54789813458439662","GDSC2"
"LGK974","1598","CAL-120","906826","BRCA","breast","breast","6.9760741563997941",".96820985796493575","10",".069607147867146252","2.480772228943394","GDSC2"
"LGK974","1598","DU-4475","906844","BRCA","breast","breast","2.7664719915186673",".95429420124473474","10",".09501581607188081","-1.3296296008764013","GDSC2"
"LGK974","1598","EFM-19","906851","BRCA","breast","breast","3.7647769398569331",".93653939906613959","10",".059182454853322644","-.42599480288980751","GDSC2"
"LGK974","1598","EVSA-T","906862","BRCA","breast","breast","3.1017110326601522",".9516613726064066","10",".12503681687242296","-1.0261815775811596","GDSC2"
"LGK974","1598","HCC1419","907045","BRCA","breast","breast","3.4871750182074943",".95240178093480077","10",".12903374162730383","-.67727148623985589","GDSC2"
"LGK974","1598","HCC1569","907046","BRCA","breast","breast","3.6473760693886557",".93976442310221209","10",".072175159619889795","-.53226244390034316","GDSC2"
"LGK974","1598","HCC70","907048","BRCA","breast","breast","2.9805169407786996",".93093800882969591","10",".050940377842372736","-1.1358827254285775","GDSC2"
"LGK974","1598","MDA-MB-175-VII","908120","BRCA","breast","breast","5.1638505232663183",".93192727418458055","10",".05805049371446918",".84040338237105561","GDSC2"
"LGK974","1598","MDA-MB-361","908121","BRCA","breast","breast","3.8920570385182049",".96321379634142601","10",".063061784507286667","-.31078478972405038","GDSC2"
"LGK974","1598","MDA-MB-453","908122","BRCA","breast","breast","2.2160586924802517",".87194392546041388","10",".11594334521679034","-1.82784671490916","GDSC2"
"LGK974","1598","MDA-MB-468","908123","BRCA","breast","breast","2.5276681882512992",".88985009968144912","10",".072611776992025395","-1.5457874260811497","GDSC2"
"LGK974","1598","MRK-nu-1","908151","BRCA","breast","breast","2.2543333551071489",".91272595921091781","10",".094563736729872686","-1.7932016727420024","GDSC2"
"LGK974","1598","OCUB-M","909256","BRCA","breast","breast","2.2991201959191523",".90011005221524454","10",".079382606920323451","-1.7526620080664155","GDSC2"
"LGK974","1598","UACC-893","909778","BRCA","breast","breast","3.2745267101010112",".92272884402338684","10",".066362363874745742","-.8697541652627816","GDSC2"
"LGK974","1598","ZR-75-30","909907","BRCA","breast","breast","3.6474195504299303",".90152978556240548","10",".1032137155880042","-.53222308620506786","GDSC2"
"LGK974","1598","AU565","910704","BRCA","breast","breast","3.5898483405439188",".95382595260614478","10",".072842693220478538","-.58433476681106467","GDSC2"
"LGK974","1598","CAL-85-1","910852","BRCA","breast","breast","3.702079959096638",".94482504848823023","10",".085867071054946481","-.48274617293761135","GDSC2"
"LGK974","1598","UACC-812","910910","BRCA","breast","breast","4.179529356029235",".94573849517316044","10",".04789871074580497","-.05057372897230393","GDSC2"
"LGK974","1598","CAL-51","910927","BRCA","breast","breast","3.6370583189448906",".94182222250423464","10",".10672346558640321","-.54160175284942436","GDSC2"
"LGK974","1598","MFM-223","910948","BRCA","breast","breast","4.7932646770988034",".9440166231480448","10",".085374442673799497",".50496052315685447","GDSC2"
"LGK974","1598","CAL-148","924106","BRCA","breast","breast","5.0780759562346729",".98563439107627582","10",".066184760268579265",".76276289418050192","GDSC2"
